2025-06-29 20:08:23,316 [INFO] <BrokerConnection client_id=kafka-python-2.2.14, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-06-29 20:08:23,333 [INFO] <BrokerConnection client_id=kafka-python-2.2.14, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2025-06-29 20:08:23,333 [INFO] <BrokerConnection client_id=kafka-python-2.2.14, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-06-29 20:08:23,333 [WARNING] group_id is None: disabling auto-commit.
2025-06-29 20:08:23,333 [INFO] Updating subscribed topics to: ('events',)
2025-06-29 20:08:23,337 [INFO] Updated partition assignment: [TopicPartition(topic='events', partition=0)]
2025-06-29 20:08:23,338 [INFO] <BrokerConnection client_id=kafka-python-2.2.14, node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-06-29 20:08:23,338 [INFO] <BrokerConnection client_id=kafka-python-2.2.14, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-06-29 20:08:23,339 [INFO] <BrokerConnection client_id=kafka-python-2.2.14, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-06-29 20:08:23,354 [INFO] Resetting offset for partition TopicPartition(topic='events', partition=0) to offset 0.
2025-06-29 20:08:23,393 [INFO] Processed message: {'event_id': 'abc123', 'event_type': 'click', 'payload': {'user_id': 'user_1', 'action': 'open_app'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': '17xr13rs', 'event_type': 'click', 'payload': {'user_id': 'user_40', 'action': 'open_app'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'q68x0wqk', 'event_type': 'click', 'payload': {'user_id': 'user_97', 'action': 'open_app'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'rzvyvdhb', 'event_type': 'purchase', 'payload': {'user_id': 'user_33', 'action': 'click_button'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'iqbwxxgd', 'event_type': 'logout', 'payload': {'user_id': 'user_90', 'action': 'open_app'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'ge20t66q', 'event_type': 'view', 'payload': {'user_id': 'user_95', 'action': 'open_app'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': '3g4em9vl', 'event_type': 'click', 'payload': {'user_id': 'user_46', 'action': 'scroll'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'dnjlmkim', 'event_type': 'purchase', 'payload': {'user_id': 'user_94', 'action': 'click_button'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'jx6p84hn', 'event_type': 'view', 'payload': {'user_id': 'user_37', 'action': 'click_button'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 's28161id', 'event_type': 'click', 'payload': {'user_id': 'user_10', 'action': 'scroll'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'fgndz5n6', 'event_type': 'click', 'payload': {'user_id': 'user_16', 'action': 'open_app'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'emcqz0qq', 'event_type': 'purchase', 'payload': {'user_id': 'user_13', 'action': 'click_button'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'zz8lp6l1', 'event_type': 'view', 'payload': {'user_id': 'user_48', 'action': 'click_button'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'opssa4wt', 'event_type': 'view', 'payload': {'user_id': 'user_33', 'action': 'click_button'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'chvc9pao', 'event_type': 'view', 'payload': {'user_id': 'user_55', 'action': 'click_button'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'mmb2dtks', 'event_type': 'click', 'payload': {'user_id': 'user_32', 'action': 'exit'}}
2025-06-29 20:08:23,394 [INFO] Processed message: {'event_id': 'd1de3suh', 'event_type': 'logout', 'payload': {'user_id': 'user_59', 'action': 'scroll'}}
2025-06-29 20:08:23,396 [INFO] Processed message: {'event_id': 'twsnm5ii', 'event_type': 'click', 'payload': {'user_id': 'user_34', 'action': 'exit'}}
2025-06-29 20:08:23,396 [INFO] Processed message: {'event_id': 'svw975pg', 'event_type': 'view', 'payload': {'user_id': 'user_66', 'action': 'exit'}}
2025-06-29 20:08:23,396 [INFO] Processed message: {'event_id': '3vdu57r0', 'event_type': 'purchase', 'payload': {'user_id': 'user_97', 'action': 'exit'}}
2025-06-29 20:08:23,396 [INFO] Processed message: {'event_id': 'sibyqbh7', 'event_type': 'logout', 'payload': {'user_id': 'user_46', 'action': 'open_app'}}
2025-06-29 20:08:23,396 [INFO] Processed message: {'event_id': 'yzzg8vao', 'event_type': 'click', 'payload': {'user_id': 'user_83', 'action': 'click_button'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': '03w0sa5f', 'event_type': 'view', 'payload': {'user_id': 'user_30', 'action': 'click_button'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'abc123', 'event_type': 'click', 'payload': {'user_id': 'user_1', 'action': 'open_app'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'g9s4hu5k', 'event_type': 'click', 'payload': {'user_id': 'user_9', 'action': 'click_button'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': '7ar1hsgu', 'event_type': 'logout', 'payload': {'user_id': 'user_44', 'action': 'open_app'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'hyptidx3', 'event_type': 'click', 'payload': {'user_id': 'user_76', 'action': 'click_button'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'tneyb580', 'event_type': 'purchase', 'payload': {'user_id': 'user_92', 'action': 'open_app'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'umojsor9', 'event_type': 'view', 'payload': {'user_id': 'user_1', 'action': 'scroll'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'bk25jjxg', 'event_type': 'logout', 'payload': {'user_id': 'user_85', 'action': 'exit'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'wftlqgh1', 'event_type': 'click', 'payload': {'user_id': 'user_46', 'action': 'scroll'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': '1xgagwf7', 'event_type': 'purchase', 'payload': {'user_id': 'user_6', 'action': 'exit'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': '31usw6qr', 'event_type': 'purchase', 'payload': {'user_id': 'user_88', 'action': 'open_app'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': '363witx1', 'event_type': 'purchase', 'payload': {'user_id': 'user_87', 'action': 'exit'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'bxuqm0or', 'event_type': 'view', 'payload': {'user_id': 'user_8', 'action': 'scroll'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'j9w2g2ne', 'event_type': 'purchase', 'payload': {'user_id': 'user_6', 'action': 'scroll'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': '1f5x13i5', 'event_type': 'logout', 'payload': {'user_id': 'user_23', 'action': 'open_app'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'r4pvcpck', 'event_type': 'view', 'payload': {'user_id': 'user_94', 'action': 'exit'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'pp82acwd', 'event_type': 'logout', 'payload': {'user_id': 'user_79', 'action': 'exit'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': '84vqaifr', 'event_type': 'purchase', 'payload': {'user_id': 'user_68', 'action': 'exit'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'fxyryvve', 'event_type': 'view', 'payload': {'user_id': 'user_85', 'action': 'click_button'}}
2025-06-29 20:08:23,397 [INFO] Processed message: {'event_id': 'nzx1il7l', 'event_type': 'click', 'payload': {'user_id': 'user_75', 'action': 'open_app'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'wxwr0j8r', 'event_type': 'logout', 'payload': {'user_id': 'user_20', 'action': 'click_button'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': '2f8hd23b', 'event_type': 'logout', 'payload': {'user_id': 'user_54', 'action': 'exit'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'far17t15', 'event_type': 'logout', 'payload': {'user_id': 'user_35', 'action': 'click_button'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'pm81cjc1', 'event_type': 'view', 'payload': {'user_id': 'user_12', 'action': 'exit'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'op4apact', 'event_type': 'view', 'payload': {'user_id': 'user_4', 'action': 'scroll'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'eirkozvf', 'event_type': 'view', 'payload': {'user_id': 'user_60', 'action': 'scroll'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'eardfpah', 'event_type': 'purchase', 'payload': {'user_id': 'user_45', 'action': 'open_app'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'eku553u0', 'event_type': 'logout', 'payload': {'user_id': 'user_27', 'action': 'exit'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'vkskrtaq', 'event_type': 'purchase', 'payload': {'user_id': 'user_14', 'action': 'open_app'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'dgpdh6po', 'event_type': 'view', 'payload': {'user_id': 'user_84', 'action': 'open_app'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': 'clvhhd3q', 'event_type': 'logout', 'payload': {'user_id': 'user_67', 'action': 'open_app'}}
2025-06-29 20:08:23,398 [INFO] Processed message: {'event_id': '0i4x6bky', 'event_type': 'logout', 'payload': {'user_id': 'user_16', 'action': 'scroll'}}
